Id,SalePrice
2658,160937.23380003366
2718,220558.97446149797
2414,200914.6381642674
1989,144986.04237648472
625,188310.92710965942
333,86588.63441469698
1327,102571.16328437788
858,150638.9318628283
95,222655.5953853598
1568,159843.92720327084
2482,196403.16532424322
1364,136024.44080199604
2584,168172.0311329879
818,284002.122920948
2673,160826.58824235597
2089,125286.9846370433
1297,169783.69844928253
790,123572.9834779842
2616,187642.92367339518
720,221030.74425582692
222,119402.23068833577
557,124680.9921494707
1148,229883.2826310231
2766,140643.34404090134
534,216569.971653024
1452,107611.40128507734
630,131441.54730309467
2648,122076.86876581545
125,141583.88811854913
1904,34510.268887088896
1670,106095.91304268157
756,112385.09618878052
717,275695.9178728502
1032,151887.1134602463
852,239639.80515074055
1731,175327.09771137967
2639,126951.00784678302
2071,76181.27869038201
1267,118797.21933921086
1851,229384.03067950072
567,176398.69351451355
2439,227950.96659886054
1898,150269.0155237665
647,159324.47045631503
2256,236038.04055504562
979,87800.31713548051
1444,230965.42143462718
2485,110076.4256686928
157,111319.34711378305
88,119530.18289396992
2003,116932.30804211376
186,226641.48802496603
1425,276805.42950969737
2695,123791.64880647784
738,108140.72057506714
395,140309.533100504
1353,182193.9776720757
1878,144025.332326399
390,172020.4321471671
1456,247321.2757692723
1103,310443.2169310556
1387,135263.6905485079
2070,129625.92331414274
1199,192971.03129988917
2479,196545.13289900863
501,309070.8074238122
2362,75370.64948677355
1718,209717.1810336279
2188,47456.4639138302
1483,164395.60991201634
2557,71296.58309226084
437,316555.55706975807
2224,188757.8134522522
1628,194456.64736255884
397,137038.90454112686
587,211818.1567082112
971,153105.26662239953
2611,145026.00364498835
1887,101622.32006768674
2399,342668.93319668726
2148,233395.92574473872
304,138753.4293569034
1997,121188.19129801242
2817,133509.66281939077
1431,176049.58097447557
427,373182.77133914176
263,114488.2422401392
598,179576.91260320082
2895,267725.71874347323
687,162944.8136519755
1822,114316.73984612642
2191,89807.20450461215
179,149101.43858424283
1009,228643.0157902168
2010,114127.7767170893
1991,154865.5146220997
1411,157186.77391227617
1721,261343.4242209752
1144,207847.20908904963
593,234179.065668636
575,296484.3204144728
1249,186775.70800481606
1604,107227.92453201891
1064,413392.54508664896
1923,152849.03060155164
1988,87788.40554053766
2325,162933.16732430423
114,211217.905185506
2700,217079.20774694977
217,128854.23619350785
343,176474.23135331526
386,254810.85103785375
2005,117604.33590794267
2908,129213.45388402489
1814,235297.29043900987
2446,416792.06939540966
208,168170.50183650042
1679,121401.82991847978
822,339279.51183303964
6,162326.73361588345
1781,385706.8287493589
2397,267739.36174933234
2340,300613.08928983274
1618,163761.1778932498
2843,176204.85913299743
1061,337392.9747514124
2786,104736.52282370583
1935,113949.21351947443
1341,111567.11424765277
521,291440.2655778659
2136,136522.94070780603
996,180098.54102543282
227,132326.43501006288
135,141635.72055905694
1167,167761.91958218656
294,250536.38009317787
1776,229794.15290591196
540,208359.1358728371
1717,209717.1810336279
2303,115492.41606813863
116,173842.49580045365
127,119475.73760229252
1371,138970.07682163993
1014,181809.39842729288
1507,99801.11619355048
702,159477.5241923593
750,178489.68374384387
261,152611.0436465794
1559,57723.2398200872
577,256164.93210751744
2812,224044.05743977736
2080,159337.46902271162
1368,125742.85022619148
2376,106744.92223013975
659,119754.11227591246
1235,121953.14400227628
332,73741.52129044304
1917,127589.0051420145
2094,275215.0301398451
1460,285328.878949802
1471,195510.0692393017
1509,113201.60675623623
1922,118637.22955258543
433,425760.9755112851
460,304530.3810288233
1116,244524.44577947987
1137,168989.8692878407
53,204562.71987979388
2354,251842.11647541635
1475,229730.1822985161
1761,471545.5476756126
842,138932.49073827243
2739,175469.63437996118
2509,188621.13546848373
1007,224068.26126747567
2610,168303.5132459467
1952,72220.28585431866
2719,203783.79894314735
2921,86588.63441469698
1966,136196.872005445
292,126693.00442651773
1204,194929.5868153561
1829,241791.01548162106
2419,204331.2609824604
391,176595.81194852217
798,127623.55039434237
481,204355.9281161266
193,213902.99683800316
555,118925.80003977596
899,83682.06813789689
2357,195577.69983875737
328,125182.89071378374
1356,117545.52001164702
1154,119821.07229357818
1730,187584.64065291377
2249,147724.50702071836
1119,264135.0638781537
2856,132613.84379362306
1394,130803.79238891264
2587,140785.18709655138
61,333797.6098677431
2661,208686.2421447183
2711,127864.87157300656
1147,203986.3041871553
757,137994.58832149656
2623,100141.66068134186
2378,168651.5823212444
1413,151862.20970888375
1722,240393.00435544067
1112,222941.3093193735
1623,181948.5602215167
1201,199997.89077483318
1513,106214.56661046993
957,257223.493367997
1171,271111.93688748794
1145,221335.59570454364
2726,239813.58664681963
703,149531.71250936377
760,92891.06032978509
1964,118541.94342287346
2512,204180.7074531775
159,148787.16015212622
1281,168396.73286037054
468,187455.87435548368
290,125046.25559934392
665,113334.02428059916
1463,283781.1444350985
1792,239767.9278858267
923,137880.6930793912
500,279940.3853078587
1408,144869.10599150066
331,72993.56022697412
170,128325.06951047826
2192,84211.70998857038
2571,311763.06502738246
2314,162091.73771761463
2647,99923.27767385771
422,381776.1479649435
2457,342148.2485946062
1838,237831.70958031586
2805,261837.18347551668
1645,178099.1100826274
1711,284183.46881208057
2825,272732.24412071507
322,357944.1332149146
2103,279731.8699777857
342,116102.1328867809
600,96001.17235195907
488,188296.85811066817
1725,340756.4386004432
2246,259815.06529601035
2847,155573.28877274884
806,258250.2875913657
530,243961.56952056836
963,192053.8423790514
2678,102440.02601939297
171,79818.54330564341
2401,380171.4025453244
805,234673.7011343691
2259,200942.10072108384
1748,189445.82357005076
1361,146367.30894518094
1677,127458.57468571096
1406,148148.7551729827
2322,246479.5016901183
688,168954.62158438
143,140533.69749757572
804,219287.16305530845
1214,167120.57253905188
2828,151223.26345360346
1999,204119.98801922885
2467,216973.81095327908
2665,167416.63612343438
1538,305966.3861455207
398,101718.25770335869
2822,148226.85761468892
2157,164395.60991201634
1856,177012.27424960036
1269,116543.18985706836
2570,121042.5711436675
2320,255292.37156051642
1517,146575.02791766243
2304,116107.69677334199
1312,97966.26996985628
2012,139514.31701716763
506,229361.45994812436
2865,208162.7818938269
2367,110767.4689586998
554,101986.36258466754
238,140677.9717503286
1954,105216.33932710152
2488,166131.62610886295
2291,86588.63441469698
1969,104290.76143668086
2725,157144.81659675602
1482,164395.60991201634
2763,218042.9551212669
503,250153.98887505906
1584,260594.18625522195
1531,163328.92968444087
2210,195804.28054354305
459,343378.13299173285
556,122699.07802032607
1347,171815.529194468
1290,72517.02835591095
1388,103010.51860125073
1571,179426.202266061
2754,226248.02395943707
765,141480.6919541583
2494,118266.97738932578
2870,196613.03934083367
7,242268.7509901275
1114,263580.4031021859
2418,277589.6470876663
291,146674.59857892225
18,326063.6705225302
39,345636.17857536016
1001,282208.673330066
2442,246635.58786624437
616,119874.37725857075
2680,70856.34118305778
1414,131495.9535232923
289,146441.81421460968
40,271379.6349866747
860,121120.0656440997
409,150564.49888714592
673,153382.421543534
2427,204460.62877554988
2036,187103.11097338807
2564,137191.2628912893
642,193143.2025755433
1008,176839.47780388154
1908,156614.06733480393
2519,229734.70791000576
1369,86626.36732936162
2855,156168.64421984775
712,102906.51004854114
1943,115554.06485680283
1958,135746.7571749725
107,193054.21582565128
2295,174142.15358673764
704,98418.56113918722
676,146779.41977243338
259,179125.28575685242
93,287601.7438401308
106,250839.10405525117
2315,180117.90981839332
1050,105220.5318279179
1095,203752.14142087277
2709,131307.3858619007
758,171010.9548655949
1496,143389.85739657498
2370,127458.57468571096
2458,279630.912923838
2733,127983.04300002329
161,287702.52709744463
726,160187.31796019393
845,237429.19276990273
947,265624.86542928964
2232,119483.00542782995
2563,148557.42406550527
